Standard Code,Description,,
ESRS 1,General Requirements,,
ESRS 2,General Disclosures,,
ESRS 2 BP-1,General basis for preparation of sustainability statements,,
ESRS 2 BP-2,Disclosures in relation to specific circumstances,,
ESRS 2 GOV-1,"The role of the administrative, management and supervisory bodies",,
ESRS 2 GOV-2,"Information provided to the undertaking’s administrative, management and supervisory bodies",,
ESRS 2 GOV-3,Integration of sustainability-related performance in incentive schemes,,
ESRS 2 GOV-4,Statement on due diligence,,
ESRS 2 GOV-5,Risk management and internal controls over sustainability reporting,,
ESRS 2 SBM-1,"Strategy, business model and value chain",,
ESRS 2 SBM-2,Interests and views of stakeholders,,
ESRS 2 SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,
ESRS 2 IRO-1,"Description of the process to identify and assess material impacts, risks and opportunities",,
ESRS 2 IRO-2,Disclosure requirements in ESRS covered by the undertaking’s sustainability statement,,
ESRS E1,Climate Change,,
E1-1,Transition plan for climate change mitigation,,
E1-2,Policies related to climate change mitigation and adaptation,,
E1-3,Actions and resources in relation to climate change policies,,
E1-4,Targets related to climate change mitigation and adaptatio,,
E1-5,Energy consumption and mix,,
E1-6,"Gross Scopes 1, 2, 3 and Total GHG emissions",,
E1-7,GHG removals and GHG mitigation projects financed through carbon credits,,
E1-8,Internal carbon pricing,,
E1-9,Anticipated financial effects from material physical and transition risks and potential climate-related opportunities,,
E1-GOV-3,Integration of sustainability related performance in incentive schemes,,
E1-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business mode",,
E1-IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",,
ESRS E2,Pollution,,
E2-1,Policies related to pollution,,
E2-2,Actions and resources related to pollution,,
E2-3,Targets,,
E2-4,"Pollution of air, water and soil",,
E2-5,Substances of concern and substances of very high concern,,
E2-6,"Anticipated financial effects from pollution-related impacts, risks and opportunities",,
E2-IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",,
ESRS E3,Water and Marine Resources,,
E3-1,Policies related to water and marine resources,,
E3-2,Actions and resources related to water and marine resources,,
E3-3,Targets related to water and marine resources,,
E3-4,Water consumption,,
E3-5,"Anticipated financial effects from water and marine resources-related impacts, risks and opportunities",,
E3-IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",,
ESRS E4,Biodiversity and Ecosystems,,
E4-1,Transition plan and consideration of biodiversity and ecosystems in strategy and business model,,
E4-2,Policies related to biodiversity and ecosystems,,
E4-3,Actions and resources related to biodiversity and ecosystems,,
E4-4,Targets related to biodiversity and ecosystems,,
E4-5,Impact metrics related to biodiversity and ecosystems change,,
E4-6,Anticipated financial effects from biodiversity and ecosystem-related risks and opportunities,,
E4-SBM-3,"Material impacts, risks and opportunities and their interaction with strategy and business model",,
E4-IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",,
ESRS E5,Resource Use and Circular Economy,,
E5-1,Policies related to resource use and circular economy,,
E5-2,Actions and resources related to resource use and circular economy,,
E5-3,Targets related to resource use and circular economy,,
E5-4,Resource inflows,,
E5-5,Resource outflows,,
E5-6,"Anticipated financial effects from resource use and circular economy-related impacts, risks and opportunities",,
E5-IRO-1,"Description of the processes to identify and assess material impacts, risks and opportunities",,
ESRS S1,Own Workforce,,
S1-1,Policies related to own workforce,,
S1-2,Processes for engaging with own workers and workers’ representatives about impacts,,
