ESRS_Code,Matched_Keyword,Section_Reference,Page_Reference,Paragraph_Reference,Other_Reference,Source_Page,Source_Row_Text
IRO-2,,,,,2 | 8,61, undertaking’s sustainability statement (ESRS2 IRO-2)  (S1-8)  
BP-1,,3.1.1.1,,,,63,3.1.1.1 Basis for preparation (ESRS2 BP-1) 
BP-2,,3.1.1.2,,,,63,3.1.1.2 Disclosures in relation to specific circumstances (ESRS2 BP-2) 
IRO-2,,,,,2024 | 2 | 6,63,comparable to the information published in the 2024 sustainability statement (ESRS2 IRO-2). |6|
SBM-1,,,,paragraph 42,1,63,"This year, 74Software is publishing the environmental footprint requirement: ESRS 2 SBM-1 paragraph 42b (Introduction, "
SBM-1,,3.1.2.1,,,,64,3.1.2.1 Entity activities and business model (ESRS2 SBM-1)
SBM-2,,3.1.2.2,,,,66,3.1.2.2 Interests and views of stakeholders (ESRS2 SBM-2)
GOV-1,,,,,1,67," management, and supervisory bodies (ESRS2 GOV-1). "
GOV-1,,,,,1,68,(ESRS2 GOV-1)
GOV-3,,3.1.3.3,,,,70,3.1.3.3 Objectives and variable remuneration aligned with ESG (ESRS2 GOV-3)
GOV-4,,3.1.3.4,,,,71,3.1.3.4 Statement on due diligence (ESRS2 GOV-4) 
GOV-2,,,,,2,71,Embedding due diligence in ESRS 2 – GOV-2 : Information provided to and sustainability matters addressed by the undertaking’s 
GOV-3,,,,,2 | 3,71,business modelESRS 2 – GOV-3 : Integration of sustainability-related performance in incentive schemes 
SBM-3,,,,,2 | 3,71,"ESRS 2 – SBM-3 : Material impacts, risks and opportunities and their interaction with strategy "
GOV-2,,,,,2,71,Engaging with affected ESRS 2 – GOV-2 : Information provided to and sustainability matters addressed by the undertaking’s 
IRO-1,,,,,2 | 1,71,"of the due diligenceESRS 2 – IRO-1 : Description of the processes to identify and assess material impacts, risks "
SBM-2,,,,,2,71,ESRS 2 – SBM-2 : Interests and views of stakeholders 
SBM-2,,,,,2 | 3,71,SBM-2 : Interests and views of stakeholders■ |3|
IRO-1,,,,,2 | 1,71,"Identifying and assessing ESRS 2 – IRO-1 : Description of the processes to identify and assess material impacts, risks "
SBM-3,,,,,2 | 3,71,"ESRS 2 – SBM-3 : Material impacts, risks and opportunities and their interaction with strategy "
SBM-3,,,,,3,71,"SBM-3 : Material impacts, risks and opportunities and their interaction with strategy and business ■ "
GOV-5,,,,,5,72,(ESRS2 GOV-5)
IRO-1,,3.1.4.1,,,,72,3.1.4.1 Identification of the IROs and Double Materiality Analysis (ESRS2 IRO-1)
SBM-3,,,,,3,73,with strategy and business model (ESRS2 SBM-3) 
IRO-2,,,,,2,75,sustainability statement (ESRS2 IRO-2)
GOV-1,,,,,2 | 1 | 13,79,ESRS 2 GOV-1 Indicator number 13 of  Commission Delegated  Material Section 
GOV-1,,,,,2 | 1,79,ESRS 2 GOV-1   Delegated Regulation  Material Section —
GOV-4,,,,,2 | 4 | 10 | 1,79,ESRS 2 GOV-4 Indicator number 10    Material Section |1|
SBM-1,,,,,2 | 1 | 4,79,ESRS 2 SBM-1 Indicators number 4 Article 449a Regulation Delegated Regulation  Not  
GOV-5,,,,,5 | 2024,216,"of ESG reporting (ESRS2 GOV-5)”). In 2024, this environmental commitment had a non-material impact on the financial statements."
