0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,"Installation, maintenance, repair of energy",,CCM 7.3,,,8,0.2%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,Y,Y,Y,Y,Y,0.1%,E,
,efficiency equipment,,,,,,,,,,,,,,,,,,,,,,
,Acquisition and ownership of buildings,,,CCM 7.7,,16,0.3%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,Y,Y,Y,Y,Y,-,,
,Renovation of existing buildings,,,CCM 7.2,,1,0.0%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,Y,Y,Y,Y,Y,-,,
Freight transport services by road,,,CCM 6.5,,,3,0.1%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,Y,Y,Y,Y,Y,-,,
,,,CCM 5.1,,,4,0.1%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,Y,Y,Y,Y,Y,-,,
,,,CCM 5.3,,,4,0.1%,Y,N/EL,N/EL,N/EL,N/EL,N/EL,Y,Y,Y,Y,Y,Y,Y,-,,
,,,,CCM 4.25,,-,-,-,-,-,-,-,-,,,,,,,,0.1%,,
,,,CCM 7.5,,,-,-,-,-,-,-,-,-,,,,,,,,0.1%,,
,,,,,,37,0.8%,0.8%,-,-,-,-,-,Y,Y,Y,Y,Y,Y,Y,0.3%,,
,,,,,,8,0.2%,0.2%,-,-,-,-,-,Y,Y,Y,Y,Y,Y,Y,0.1%,E,
,,,,,,4,0.1%,0.1%,-,-,-,-,-,Y,Y,Y,Y,Y,Y,Y,-,,
