0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,As per 1 January 2023,,,,1 736,,,17 620,,,(3 706),,,54 477,,,(35 553),,,38 823,,,73 398,,,10 880,,,84 278,
,Profit of the period,,,,-,,,-,,,-,,,-,,,-,,,5 341,,,5 341,,,1 550,,,6 891,
,Other comprehensive income/(loss),,21,,-,,,-,,,-,,,-,,,4 398,,,-,,,4 398,,,(522),,,3 876,
,Total comprehensive income/(loss),,,,-,,,-,,,-,,,-,,,4 398,,,5 341,,,9 739,,,1 028,,,10 767,
,Dividends,,,,-,,,-,,,-,,,-,,,-,,,(1 582),,,(1 582),,,(1 371),,,(2 952),
,Treasury shares,,,,-,,,-,,,240,,,-,,,-,,,(477),,,(237),,,-,,,(237),
,Share-based payments,,24,,-,,,-,,,-,,,418,,,-,,,-,,,418,,,19,,,438,
,Hyperinflation monetary adjustments,,,,-,,,-,,,-,,,-,,,-,,,417,,,417,,,258,,,675,
,Scope and other changes,,,,-,,,-,,,-,,,-,,,-,,,(306),,,(306),,,15,,,(291),
,As per 31 December 2023,,,,1 736,,,17 620,,,(3 465),,,54 896,,,(31 155),,,42 215,,,81 848,,,10 828,,,92 676,
