0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foreign currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foreign exchange forwards,,,8 867,,,300,,,150,,,-,,,-,,,13 440,,,105,,,300,,,-,,,-,
,Other foreign exchange derivatives,,,385,,,-,,,150,,,400,,,-,,,245,,,-,,,-,,,-,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest rate swaps,,,1 791,,,-,,,-,,,-,,,-,,,580,,,-,,,-,,,-,,,-,
,Cross currency interest rate swaps,,,1 558,,,510,,,2 593,,,3 598,,,690,,,1 217,,,1 863,,,510,,,4 353,,,717,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commodities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aluminum swaps,,,1 841,,,-,,,-,,,-,,,-,,,1 780,,,-,,,-,,,-,,,-,
,Other commodity derivatives,,,630,,,26,,,-,,,-,,,-,,,913,,,25,,,-,,,-,,,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equity derivatives,,,10 520,,,-,,,-,,,-,,,-,,,11 189,,,-,,,-,,,-,,,-,
