0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,Retrospective,,,,,,,,,,,Goals and Ambitions20,,,,
,,,,2024,,,2023,,,Variance,,,%,,2025,,,2040,
,Scope 1 GHG Emissions,,,,,,,,,,,,,,,,,,
,Gross Scope 1 GHG emissions (in million metric,,2.49,,,2.65,,,-0.16,,,-5.8%,,~2.47,,,~0.3,,
,"tonnes of COeq)
2",,,,,,,,,,,,,,,,,,
,Percentage of Scope 1 GHG emissions from,,23.4%,,,/,,,/,,,/,,,,,,,
,regulated emission trading schemes (%),,,,,,,,,,,,,,,,,,
,Scope 2 GHG Emissions,,,,,,,,,,,,,,,,,,
,Gross location-based Scope 2 GHG emissions (in,,1.98,,,2.09,,,-0.11,,,-5.3%,,~1.96,,,,,
,"million metric tonnes of COeq)
2",,,,,,,,,,,,,,,,,,
,Gross market-based Scope 2 GHG emissions (in,,0.76,,,0.80,,,-0.04,,,-5.6%,,~0.75,,,~0.2,,
,"million metric tonnes of COeq)
2",,,,,,,,,,,,,,,,,,
