0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,Significant Scope 3 GHG Emissions22,,,,,,,,,,,,,,,,,
,Total gross indirect (Scope 3) GHG emissions (in,,,20.37,,,22.38,,,-2.01,,,-9.0%,,~20.16,,,~3.0
,"million metric tonnes of COeq)
2",,,,,,,,,,,,,,,,,
,,Purchased Goods and Services,,12.77,,,13.61,,,-0.84,,,-6.1%,,~12.65,,,
,,"(agriculture, processing of brewing",,,,,,,,,,,,,,,,
,,"ingredients, and packaging)",,,,,,,,,,,,,,,,
,,Emissions from Fuel not Included in,,0.50,,,0.51,,,-0.01,,,-1.6%,,~0.49,,,
,,Scopes 1 and 2,,,,,,,,,,,,,,,,
,,Upstream and Downstream,,2.26,,,2.36,,,-0.10,,,-4.2%,,~2.24,,,
,,Transportation (logistics),,,,,,,,,,,,,,,,
,,Use of Sold Products (product cooling),,,4.57,,,5.63,,,-1.06,,,-18.8%,,~4.52,,
,,End of Life Treatment of Sold Products,,,0.27,,,0.27,,,0.00,,,-1.4%,,~0.26,,
,Total GHG Emissions23,,,,,,,,,,,,,,,,,
,Total GHG emissions (location-based),,,24.84,,,27.12,,,-2.28,,,-8.4%,,~24.59,,,
,"(in million metric tonnes of COeq)
2",,,,,,,,,,,,,,,,,
