0,1,2,3,4,5,6,7,8
"Material positive
impact,
material risk","Philips makes a positive impact on people and society
by operating in a responsible and ethical manner,
contributing to long-term value creation for all
stakeholders.",òòò,"General Business
Principles,
SpeakUp Policy","Note XIX
Section 4.3.4","G1-1– Corporate culture and
Business conduct policies
G1-3 – Prevention and
detection of corruption and
bribery
G1-4 – Confirmed incidents of
corruption or bribery
G1-6 – Payment practices",p¢q,,
,"Risk of non-compliance with business conduct rules and
regulations due to unethical behaviors, including
corruption and bribery.",òòò,,,,,,
"Material risk,
material
opportunity","Risk of not effectively simplifying the organization and
ways of working, including (but limited to) changes in
governance, processes, and IT landscape and
architecture.",òòò,"General Business
Principles",Section 4.3.7,"Entity specific:
Tax transparency",p¢q,,
,"Philips has an opportunity to grow its business by
creating a simplified, more agile operating model to
improve the execution of Philips' strategy.",òòò,,,,,,
"Material positive
impact,
material risk","Philips has positive impacts on internal and external
stakeholders by actively engaging in public affairs;
making advocacy efforts to foster an open, meaningful,
effective, and informed dialogue regarding Philips'
activities; and meeting internal and external
stakeholders’ needs, concerns and expectations.",òòò,"Stakeholder
Engagement
Policy",Section 4.3.8,"G1-5 – Political influence and
lobbying activities",p¢q,,
,"Philips may be unable to meet internal or external aims
or expectations with respect to ESG-related matters",òòò,,,,,,
"Potential negative
impact,
material risk,
opportunity","Philips can have negative impacts on employees,
customers, and consumers if Philips fails to meet
cybersecurity standards.",òòò,"General Business
Principles,
Internal
cybersecurity
policies",Section 4.3.5,"S1-17 – Incidents, complaints
and severe human rights
impacts",p¢q,,
,"Risk of business operations disruptions, customer
dissatisfaction, reputation loss, and legal liabilities and
fines, if Philips fails to meet cybersecurity standards.",òòò,,,,,,
,"Philips has an opportunity to further integrate AI, and
incorporate AI and capabilities in its products and
services, which can result in improving customer
experiences and driving efficiencies, which in turn
grows Philips' business.",òòò,,,,,,
"Material positive
impact,
material risk","Philips can have a positive impact on society by
complying with global regulations and standards and
advocate fair competition.",òòò,"General Business
Principles,
SpeakUp Policy",Section 4.3.4,"S1-17 – Incidents, complaints
and severe human rights
impacts",p¢q,,
,"Risk of substantial fines, reputational damage or legal
costs due to competition and market access issues.",òòò,,,,,,
