0,1,2,3,4
,"To have a diverse workforce and an inclusive work environment, and to be an equal-opportunity employer, ensuring that all
hiring, promotions, and pay decisions are based solely on merit, qualifications and performance.",N/A,8.5 Social information,
,"Commitment to not discriminate on the basis of race, color, ethnicity, age, gender, gender identify or expression, sexual
orientation or identity, marital status, language, background, religion, health status, pregnancy, political or other opinions,
disability, national or social origin/birth or any other status in our recruitment, hiring, training, promotion, compensation, or
employment practices.",,,
,"Details the ethical and social principles that govern the company's relationship with its employees and other workers world
wide.","International Bill of Human Rights
International Labour Organization (ILO)",8.5 Social information,
,"Promotes transparency, accountability, and a positive work environment and is aimed at creating a fair and equal work space.",,,
,"Create an environment of inclusion and belonging where all employees and other workers are treated fairly, free from
discrimination, harassment, and other prohibited behaviors.
Provide all employees with fair and equal development opportunities.",,,
,"To ensure the highest standards of business conduct by sustaining a culture in which all employees show ethical conduct, and
where doing things ethically is recognized and valued.",N/A,"8.5 Social information
8.6 Governance
information",
,"To establish a process of reporting a concern and explanation of process of subsequent investigation in situations which people
do not uphold the standards of business conduct, leading to potential violations of the GBP.",,,
Human Rights Policy,"Commitment to identify, prevent, and mitigate adverse human rights impacts. Philips' commitment to human rights, including
labor rights of workers, extends to other parts of our value chain, affecting our business partners, suppliers, and customers.
Philips conducts human rights due diligence by identifying, prioritizing, and addressing impact areas and aims to periodically
review and strengthen our due diligence approach in alignment with our own learnings and industry best practices.","International Bill of Human Rights
International Labour Organization (ILO)","8.5.2 Workers in the
value chain",
,,"Declaration on Fundamental Principles
and Rights at Work",,
,,"United Nations Guiding Principles on
Business and Human Rights (UNGP)
Organization for Economic Co-operation
and Development (OECD)",,
"Occupational Health &
Safety Policy","Commitment to prevent injuries, illnesses and incidents by providing a health and safe working environment to every employee,
contractor and visitor through proactive risk management focused on:
• hazard control and elimination
• consultation and engagement of employees
• fostering a culture of health and well-being
• ensuring regulatory compliance and continual improvement through OHS performance management",ISO standard,8.5 Social information,
"Mental Health
Champion Program","To promote and support well-being and mental wellness. Providing the right foundations for the Mental Health Champions will
help create a more engaged, happy and high performing culture at Philips.",N/A,"Note V Diversity,
Inclusion and Well-
Being",
"Quality and Safety
Standard","Expresses our overall intention and direction with respect to quality. It states our objectives for, and commitment to, quality.",N/A,"4.3.3 Patient safety,
quality and regulatory",
"Stakeholder
Engagement Policy","To pursue and foster an open, meaningful, effective, and informed dialogue regarding our activities and our internal and
external stakeholders' needs, concerns and expectations.","1.1.5 of the Dutch Corporate
Governance Code","4.3.8 Working with
stakeholders and
advocacy
8.3 Double Materiality
Assessment",
"Internal Cybersecurity
Policies","Philips’ products and services need appropriate security features and controls to ensure our customers and Philips can comply
with applicable legislation, recommended security best practices and internal policies.",N/A,4.3.5 Cybersecurity,Philips intranet
