0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"CCM4.
1/
CCA4.
1",0.35,0%,Y,N,N/EL,N/EL,N/EL,N/EL,,Y,Y,Y,Y,Y,Y,0%,E
"CCM4.
16/
CCA4.
16",0.01,0%,Y,N,N/EL,N/EL,N/EL,N/EL,,Y,Y,Y,Y,Y,Y,0%,E
"CCM7.
2/
CCA7.
2/
CE3.2",0.03,0%,Y,N,N/EL,N/EL,N,N/EL,,Y,Y,Y,Y,Y,Y,0%,
"CCM7.
3/
CCA7.
3",2.17,0.3%,Y,N,N/EL,N/EL,N/EL,N/EL,,Y,Y,Y,Y,Y,Y,0.4%,E
"CCM7.
4/
CCA7.
4",0.19,0.0%,Y,N,N/EL,N/EL,N/EL,N/EL,,Y,Y,Y,Y,Y,Y,0%,E
"CCM7.
5/
CCA7.
5",0.02,0%,Y,N,N/EL,N/EL,N/EL,N/EL,,Y,Y,Y,Y,Y,Y,0%,E
"CCM7.
7/
CCA7.
7",0,0%,Y,N,N/EL,N/EL,N/EL,N/EL,,Y,Y,Y,Y,Y,Y,0%,
,2.77,0.3%,0.3%,0%,0%,0%,0%,0%,,Y,Y,Y,Y,Y,Y,0.4%,
,2.74,0.3%,0.3%,0%,0%,0%,0%,0%,,Y,Y,Y,Y,Y,Y,0.4%,E
,0.03,0%,0%,,,,,,,Y,Y,Y,Y,Y,Y,0%,
