0,1,2
Patient Safety & Quality,Drive Patient Safety & Quality as highest priority in the organization,"Further strengthened our Patient Safety & Quality culture, capabilities and
performance. Significant progress made on managing the recall, and
addressing consent decree requirements."
Customer,Improve customer experience,Customer NPS significantly improved.
,Improve financial forecasting,Accuracy of sales forecast was insufficient.
Strategy and Execution,Drive focused strategy to win in the market,Delivered on Cash- and Productivity programs as per plan
,"Establish simplified, more agile operating model","Targets for operating model simplification and the headcount reduction plan
were responsibly achieved."
ESG,Deliver on ESG Commitments,"ESG index realization significantly ahead of target. Employee engagement
significantly up ahead of target. Succession plans and talent development as
per plan."
Patient Safety & Quality,Drive Patient Safety & Quality as highest priority in the organization,"Further strengthened our Patient Safety & Quality culture, capabilities and
performance. Significant progress made on managing the recall, and
addressing consent decree requirements."
Customer,Manage legal issues,"Significant milestones achieved, such as the economic loss settlement and the
resolution of the personal injury and medical monitoring litigation in the US
related to the Respironics recall."
Strategy and Execution,Drive focused strategy to win in the market,"Delivery on our value creation plan and legal & compliance commitments
ahead of target."
,"Establish simplified, more agile operating model","Targets for operating model simplification and the headcount reduction plan
were responsibly achieved."
ESG,Deliver on ESG Commitments,"ESG index realization significantly ahead of target. Employee engagement
significantly up ahead of target. Succession plans and talent development as
per plan."
